,date,PRCP,TMAX,TMIN
0,01.01.2010,Nan,Nan,Nan
1,10.01.2010,Nan,Nan,Nan
2,11.01.2010,Nan,Nan,Nan
3,12.01.2010,0,Nan,Nan
4,13.01.2010,Nan,Nan,Nan
5,14.01.2010,0,Nan,Nan
6,15.01.2010,0,Nan,Nan
7,16.01.2010,Nan,Nan,Nan
8,17.01.2010,Nan,Nan,Nan
9,18.01.2010,0,Nan,Nan
10,19.01.2010,0,Nan,Nan
11,02.01.2010,Nan,Nan,Nan
12,20.01.2010,0,Nan,Nan
13,21.01.2010,0,Nan,Nan
14,22.01.2010,0,Nan,Nan
15,23.01.2010,0,Nan,Nan
16,24.01.2010,Nan,Nan,Nan
17,25.01.2010,0,Nan,Nan
18,26.01.2010,0,Nan,Nan
19,27.01.2010,0,Nan,Nan
20,28.01.2010,0,Nan,Nan
21,29.01.2010,0,Nan,Nan
22,03.01.2010,Nan,Nan,Nan
23,30.01.2010,0,278,145
24,31.01.2010,Nan,Nan,Nan
25,04.01.2010,Nan,Nan,Nan
26,05.01.2010,0,Nan,Nan
27,06.01.2010,Nan,Nan,Nan
28,07.01.2010,0,Nan,Nan
29,08.01.2010,Nan,Nan,Nan
30,09.01.2010,Nan,Nan,Nan
31,01.02.2010,Nan,Nan,Nan
32,10.02.2010,Nan,Nan,Nan
33,11.02.2010,0,297,134
34,12.02.2010,Nan,Nan,Nan
35,13.02.2010,0,Nan,Nan
36,14.02.2010,Nan,Nan,Nan
37,15.02.2010,Nan,Nan,Nan
38,16.02.2010,Nan,Nan,Nan
39,17.02.2010,Nan,Nan,Nan
40,18.02.2010,Nan,Nan,Nan
41,19.02.2010,Nan,Nan,Nan
42,02.02.2010,0,273,144
43,20.02.2010,0,Nan,Nan
44,21.02.2010,Nan,Nan,Nan
45,22.02.2010,Nan,Nan,Nan
46,23.02.2010,0,299,107
47,24.02.2010,Nan,Nan,Nan
48,25.02.2010,0,Nan,Nan
49,26.02.2010,Nan,Nan,Nan
50,27.02.2010,Nan,Nan,Nan
51,28.02.2010,Nan,Nan,Nan
52,29.02.2010,Nan,Nan,Nan
53,03.02.2010,0,241,144
54,30.02.2010,Nan,Nan,Nan
55,31.02.2010,Nan,Nan,Nan
56,04.02.2010,Nan,Nan,Nan
57,05.02.2010,Nan,Nan,Nan
58,06.02.2010,0,Nan,Nan
59,07.02.2010,0,Nan,Nan
60,08.02.2010,Nan,Nan,Nan
61,09.02.2010,0,Nan,Nan
62,01.03.2010,Nan,Nan,Nan
63,10.03.2010,0,345,168
64,11.03.2010,0,Nan,Nan
65,12.03.2010,0,Nan,Nan
66,13.03.2010,0,Nan,Nan
67,14.03.2010,Nan,Nan,Nan
68,15.03.2010,Nan,Nan,Nan
69,16.03.2010,0,311,176
70,17.03.2010,0,Nan,Nan
71,18.03.2010,Nan,Nan,Nan
72,19.03.2010,0,Nan,Nan
73,02.03.2010,0,Nan,Nan
74,20.03.2010,0,Nan,Nan
75,21.03.2010,Nan,Nan,Nan
76,22.03.2010,Nan,Nan,Nan
77,23.03.2010,0,Nan,Nan
78,24.03.2010,Nan,Nan,Nan
79,25.03.2010,Nan,Nan,Nan
80,26.03.2010,0,Nan,Nan
81,27.03.2010,0,Nan,Nan
82,28.03.2010,Nan,Nan,Nan
83,29.03.2010,Nan,Nan,Nan
84,03.03.2010,Nan,Nan,Nan
85,30.03.2010,0,Nan,Nan
86,31.03.2010,Nan,Nan,Nan
87,04.03.2010,0,Nan,Nan
88,05.03.2010,0,321,142
89,06.03.2010,0,Nan,Nan
90,07.03.2010,Nan,Nan,Nan
91,08.03.2010,Nan,Nan,Nan
92,09.03.2010,0,Nan,Nan
93,01.04.2010,0,Nan,Nan
94,10.04.2010,Nan,Nan,Nan
95,11.04.2010,Nan,Nan,Nan
96,12.04.2010,Nan,Nan,Nan
97,13.04.2010,Nan,Nan,Nan
98,14.04.2010,Nan,Nan,Nan
99,15.04.2010,Nan,Nan,Nan
100,16.04.2010,Nan,Nan,Nan
101,17.04.2010,Nan,Nan,Nan
102,18.04.2010,Nan,Nan,Nan
103,19.04.2010,Nan,Nan,Nan
104,02.04.2010,Nan,Nan,Nan
105,20.04.2010,Nan,Nan,Nan
106,21.04.2010,Nan,Nan,Nan
107,22.04.2010,Nan,Nan,Nan
108,23.04.2010,Nan,Nan,Nan
109,24.04.2010,Nan,Nan,Nan
110,25.04.2010,Nan,Nan,Nan
111,26.04.2010,Nan,Nan,Nan
112,27.04.2010,0,363,167
113,28.04.2010,Nan,Nan,Nan
114,29.04.2010,Nan,Nan,Nan
115,03.04.2010,0,Nan,Nan
116,30.04.2010,0,Nan,Nan
117,31.04.2010,Nan,Nan,Nan
118,04.04.2010,Nan,Nan,Nan
119,05.04.2010,Nan,Nan,Nan
120,06.04.2010,0,Nan,Nan
121,07.04.2010,Nan,Nan,Nan
122,08.04.2010,Nan,Nan,Nan
123,09.04.2010,Nan,Nan,Nan
124,01.05.2010,Nan,Nan,Nan
125,10.05.2010,Nan,Nan,Nan
126,11.05.2010,0,Nan,Nan
127,12.05.2010,Nan,Nan,Nan
128,13.05.2010,0,Nan,Nan
129,14.05.2010,Nan,Nan,Nan
130,15.05.2010,Nan,Nan,Nan
131,16.05.2010,Nan,Nan,Nan
132,17.05.2010,Nan,Nan,Nan
133,18.05.2010,0,Nan,Nan
